edge_case_id,system,scenario,required_decision,chosen_behavior,notes,status
E01,Storage,Storage overflow on large server tick delta,"Clamp, spill, or queue overflow oil?",,,"Open"
E02,Production,Production tick while storage full,"Hard stop production or allow buffered overflow?",,,"Open"
E03,Storage,Concurrent oil modifications in same frame,"Atomic lock strategy and operation ordering?",,,"Open"
E04,Shipment,All-In requested with zero oil,"Reject with error, or no-op with feedback?",,,"Open"
E05,Shipment,Double-click shipment request,"Per-player lock/cooldown policy?",,,"Open"
E06,Shipment,Multiple shipments at once by same player,"Allow concurrency? If yes, max active shipments?",,,"Open"
E07,Strait State,State changes immediately after dispatch click,"Use departure snapshot or post-validation state?",,,"Open"
E08,Strait State,State changes mid-shipment,"Risk/pricing locked at departure or dynamic during transit?",,,"Open"
E09,Strait State,State becomes Closed during active shipment,"Continue, force local sale, or cancel/refund?",,,"Open"
E10,Events,Multiple events trigger in same simulation step,"Event ordering and max stack rules?",,,"Open"
E11,Events,Delay events chain repeatedly,"Maximum total added delay cap?",,,"Open"
E12,Events,Catastrophic event after ship already destroyed,"Ignore post-destroy events and hard terminal state?",,,"Open"
E13,Economy,Payout function invoked twice for same shipment,"Idempotency key and duplicate handling behavior?",,,"Open"
E14,Economy,Partial payout + insurance overlap,"Exact formula and operation order (damage, delivery, insurance)?",,,"Open"
E15,Upgrades,Upgrade purchased while shipment in-flight,"Apply to current shipment or next shipment only?",,,"Open"
E16,Upgrades,Extreme upgrade multipliers,"Hard caps and clamp rules per stat?",,,"Open"
E17,Config,Negative/NaN config values at runtime,"Boot-time validation and fail-safe fallback?",,,"Open"
E18,Session,Player disconnect during shipment,"Continue server-side, pause, or auto-resolve?",,,"Open"
E19,Session,Player rejoins during active shipment,"State rehydration details and UI recovery flow?",,,"Open"
E20,Persistence,Server shutdown with in-flight shipments,"Persist in-flight, fast-resolve, or refund policy?",,,"Open"
E21,Persistence,DataStore write failure on payout,"Retry/backoff queue and reconciliation policy?",,,"Open"
E22,Security,Remote spam/exploit payloads,"Rate limits, schema validation, and punishment policy?",,,"Open"
E23,Security,Client spoofed multiplier/state values,"Server ignore/override policy and audit logging?",,,"Open"
E24,Movement,Tanker collision with map/ships causes nondeterminism,"Physics collisions enabled or deterministic pathing only?",,,"Open"
E25,Performance,Too many simultaneous VFX and replicated events,"Per-server visual budget and LOD policy?",,,"Open"
E26,Multiplayer,Global strait state inconsistency across servers,"Per-server state vs cross-server synchronized state?",,,"Open"
E27,Economy,Runaway inflation and progression collapse,"Economic guardrails (taxes, sink costs, soft caps)?",,,"Open"
E28,Economy,Closed-state local sell abuse,"Cooldown/tax/cap/lockout rules for local sell option?",,,"Open"
E29,Quality,Quality-tier storage overflows while other tiers have space,"Spill/reject/auto-convert behavior for incoming oil?",,,"Open"
E30,Quality,Mixed-quality shipment rounding exploits,"Rounding strategy to prevent creating value from decimals?",,,"Open"
E31,Quality,Split/merge exploit between quality pools,"Can players recombine oil to upgrade quality indirectly?",,,"Open"
E32,Quality,All-In with mixed tiers,"Deterministic tier consumption order and tie-break rules?",,,"Open"
E33,Quality,Partial shipment loss with mixed tiers,"Which tiers are lost first under damage?",,,"Open"
E34,Quality,Event outcomes alter quality unexpectedly,"Can events downgrade quality, and if yes by what rule?",,,"Open"
E35,Quality,Equipment swap timing exploit,"If player changes drills before production tick, which quality profile applies?",,,"Open"
E36,Quality,Extreme quality multipliers break economy,"Hard caps for tier multipliers and payout ceilings?",,,"Open"
E37,Quality,Persistence mismatch after reconnect,"How to reconcile saved per-tier inventory vs in-memory shipment state?",,,"Open"
E38,Quality,Client spoofed tier composition in request,"Server reconstruction/validation policy for shipment tier mix?",,,"Open"
