"question_id","category","question","answer","decision_notes","status"
"Q01","Strait State Scope","Is ""GLOBAL"" strait state per server, or truly universe-wide across all live servers?","Universe-wide","","Answered"
"Q02","Strait Timing","How often does strait state roll (exact interval/range)?","State roll every 180 seconds with +/- 45 seconds random jitter.","Auto-filled provisional default to unblock implementation.","ProposedDefault"
"Q03","Strait Triggers","Can scripted/world events force immediate state changes outside timer rolls?","Real life if the straite closes I will switch a config or something thbat closes it in the game as well. Players can close the strait temporarily as well through spending robux","","Answered"
"Q04","Shipment Pricing","Is shipment price multiplier locked at departure or evaluated at arrival?","Locked at departure","","Answered"
"Q05","Shipment Risk","Is risk profile locked at departure or dynamic during travel?","dynamic during travel","","Answered"
"Q06","Closed Mid-Run","If state becomes Closed mid-shipment, what happens to active shipments?","If state becomes Closed mid-shipment, active shipments continue with elevated destruction risk floor of 10% and no local-sell conversion.","Aligned with Q07 high-risk Closed behavior.","ProposedDefault"
"Q07","Local Sell","Do we include the Closed local sell at 0.5x in MVP, or defer?","Closed state allows optional local sale at flat 0.5x total value with quality ignored; alternatively player may still attempt shipping at very high risk.","Allows player agency while preserving Closed tension.","ProposedDefault"
"Q08","Shipment Sizing","Shipment size definitions: fixed oil amounts, percentage of storage, or percentage of current oil?","Barrels, only X barrels can fit depending on the size of boat. If that�s whatur asking","","Answered"
"Q09","Concurrency","Can players have multiple active shipments simultaneously? If yes, max concurrent?","Yes, lets say 30 max, even tho they will neve rhave that many probably","","Answered"
"Q10","Cooldowns","Is there a shipment cooldown? If yes, base value and upgrade interactions?","No","","Answered"
"Q11","Partial Delivery","How is partial delivery computed: remaining HP ratio, event-defined chunks, or threshold bands?","Partial delivery = delivered barrels are proportional to tanker HP at arrival (Delivered = Floor(Loaded * Clamp(HPPercent,0,1))).","Auto-filled provisional default to unblock implementation.","ProposedDefault"
"Q12","Event Weights","Should events be purely RNG, or weighted by shipment size and tanker quality?","RNG","","Answered"
"Q13","Event Count","Maximum events per shipment by strait state (0-3 now, but exact per-state distribution)?","No such thing as Maximum. The higher the danger of traversing the strait is depending on the game-set level or whatever, the more vents that can happen","","Answered"
"Q14","Catastrophic Rules","Can catastrophic destruction occur in every state, or only Dangerous/Crisis?","Yes but lower chance","","Answered"
"Q15","Event Chaining","Do delay events increase chance of additional events?","Yes","","Answered"
"Q16","Upgrade Timing","Which upgrades affect current in-flight shipments vs only future shipments?","Snapshot at departure: upgrades affect future shipments only, not in-flight shipments.","Auto-filled provisional default to unblock implementation.","ProposedDefault"
"Q17","Insurance Timing","Can players buy insurance after shipment departure, or only before dispatch?","Only before","","Answered"
"Q18","Persistence","Should oil, cash, and upgrade levels persist across sessions?","Yes","","Answered"
"Q19","In-Flight Persistence","Should in-flight shipments persist across server shutdowns/restarts?","Yes","","Answered"
"Q20","Disconnect Behavior","On disconnect, should shipment continue and payout automatically on next login?","Continue and payout on next login","","Answered"
"Q21","Upgrade Caps","Max upgrade level and hard cap per stat (production, storage, durability, escort, etc.)?","Default caps: PumpLevel<=200, StorageLevel<=200, DurabilityLevel<=100, EscortLevel<=100, QualityLevel<=100. Hard clamp all derived multipliers.","Auto-filled provisional default to unblock implementation.","ProposedDefault"
"Q22","Numeric Bounds","What are acceptable numeric bounds for multipliers to prevent economy breaks?","Default bounds: price multiplier [0.25, 10.0], quality multiplier [0.5, 5.0], total payout multiplier cap 20.0x.","Auto-filled provisional default to unblock implementation.","ProposedDefault"
"Q23","Physics Policy","Should tankers physically collide with other tankers/geometry, or be deterministic path visuals?","THEY CAN COLLIDE","","Answered"
"Q24","Visibility","Should other players see full shipment details, or visuals only?","Visuals only","","Answered"
"Q25","Offline Progress","Do we need anti-AFK/offline production for MVP, or only online production ticks?","nope","","Answered"
"Q26","Pacing","Any target session length/progression pacing (for balancing upgrade costs and payout multipliers)?","Not rn","Needs explicit confirmation later.","NeedsReview"
"Q27","Oil Quality","Do we add multiple oil quality tiers in MVP (for example: Low, Standard, Premium, Ultra)?","Yes","","Answered"
"Q28","Oil Quality","What are the exact quality tier names and count?","Tiers: Crude, Refined, Premium (3 tiers).","","Answered"
"Q29","Oil Sources","Which mining assets produce which quality tiers (fixed output vs probability distribution)?","Probability distribution","","Answered"
"Q30","Oil Sources","Can one pump produce multiple quality tiers over time, or only one fixed tier?","Multuiple over time proability distribution","","Answered"
"Q31","Quality Storage","Should storage be tracked per quality tier (separate pools) or blended into one average quality value?","Separate","","Answered"
